new X, new Z
6.000,20.750
12.000,21.010
18.000,21.270
24.000,21.240
30.000,21.140
36.000,20.770
42.000,20.370
48.000,20.160
54.000,20.030
60.000,19.850
66.000,19.690
72.000,19.570
78.000,19.370
84.000,19.130
89.990,18.930
95.990,18.820
101.990,18.760
107.990,18.690
113.990,18.640
119.990,18.590
125.990,18.540
131.990,18.460
137.990,18.290
143.990,18.190
149.990,18.130
155.990,18.000
161.990,17.980
167.990,17.990
173.990,17.970
179.990,17.930
185.990,17.870
191.990,17.840
197.990,17.850
203.990,17.920
209.990,17.970
215.990,17.900
221.990,17.830
227.990,17.830
233.990,17.760
239.990,17.750
245.990,17.730
251.990,17.800
257.980,17.880
263.980,17.890
269.980,17.910
275.980,17.910
281.980,17.910
287.980,17.910
293.980,17.950
299.980,17.990
305.980,18.040
311.980,17.970
317.980,17.830
323.980,17.710
329.980,17.620
335.980,17.560
341.980,17.810
347.980,16.870
353.980,15.000
359.980,12.940
365.980,11.610
371.980,11.140
377.980,10.220
383.980,8.040
389.363,5.557
390.138,5.171
391.406,4.300
413.528,4.300
426.812,-2.342
427.312,-2.342
429.312,-3.342
431.312,-3.342
433.312,-2.342
433.812,-2.342
447.096,4.300
469.219,4.300
473.970,6.880
479.970,9.700
485.970,11.190
491.970,12.030
497.970,13.410
503.970,15.490
509.970,17.840
515.970,19.610
521.970,20.490
527.970,20.780
533.970,20.980
539.970,21.410
545.970,21.520
551.970,21.660
557.970,21.650
563.970,21.660
569.970,21.640
575.970,21.600
581.960,21.580
587.960,21.480
593.960,21.310
599.960,21.160
605.960,21.140
611.960,21.180
617.960,21.180
623.960,21.390
629.960,21.640
635.960,21.870
641.960,21.970
647.960,22.110
653.960,22.260
659.960,22.410
665.960,22.640
671.960,22.890
677.960,23.140
683.960,23.430
689.960,23.700
695.960,23.860
701.960,23.900
707.960,23.950
713.960,23.830
719.960,23.780
725.960,23.790
731.960,23.800
737.960,23.810
743.960,23.850
749.950,23.870
755.950,23.890
761.950,23.960
767.950,24.020
773.950,24.080
779.950,24.090
785.950,24.000
791.950,23.790
797.950,23.780
803.950,24.260
809.950,24.620
815.950,25.310
821.950,26.580
827.950,27.910
833.950,28.760
839.950,28.920
845.950,28.050
851.950,27.100
857.950,26.860
863.950,26.870
869.950,26.890
875.950,27.000
881.950,26.970
887.950,26.870
893.950,26.810
899.950,26.860
905.950,26.850
911.940,26.790
