new X, new Z
5.850,19.250
11.700,19.150
17.540,19.430
23.390,19.470
29.240,18.400
35.090,16.860
40.930,15.850
46.780,15.030
52.630,13.370
58.480,11.300
64.320,9.810
70.170,8.620
76.020,7.210
81.870,5.600
86.010,4.310
86.038,4.300
101.313,4.300
110.393,-0.240
110.893,-0.240
112.893,-1.240
114.893,-1.240
116.893,-0.240
117.393,-0.240
126.473,4.300
141.749,4.300
145.640,6.250
152.040,8.180
157.890,9.310
163.730,10.010
169.580,11.060
175.430,13.240
181.280,15.800
187.120,17.100
192.970,17.460
198.820,17.680
204.670,18.130
