new X, new Z
5.960,22.820
11.920,22.920
17.880,22.920
23.840,22.850
29.810,22.770
35.770,22.640
41.730,22.530
47.690,22.460
53.650,22.210
59.610,21.920
65.570,21.630
71.530,21.380
77.500,21.400
83.460,21.340
89.420,21.210
95.380,21.070
101.340,20.920
107.300,21.070
113.260,21.160
119.220,21.210
125.180,21.210
131.150,21.060
137.110,20.910
143.070,20.770
149.030,20.750
154.990,20.770
160.950,20.680
166.910,20.530
172.870,20.360
178.830,20.210
184.800,20.110
190.760,19.980
196.720,19.810
202.680,19.520
208.640,19.340
214.600,19.210
220.560,19.080
226.520,18.930
232.490,18.730
238.450,18.460
244.410,18.190
250.370,17.900
256.330,17.590
262.290,17.360
268.250,17.200
274.210,17.020
280.170,16.790
286.140,16.700
292.100,16.630
298.060,16.670
304.020,16.810
309.980,16.820
315.940,16.710
321.900,16.760
327.860,16.860
333.820,16.820
339.790,16.750
345.750,16.700
351.710,16.590
357.670,16.270
363.630,15.970
369.590,15.710
375.550,15.450
381.510,15.200
387.480,14.870
393.440,12.930
399.400,9.570
407.639,5.066
408.874,4.586
410.182,4.300
432.931,4.300
442.807,-0.638
444.807,-0.638
454.683,4.300
477.431,4.300
482.850,6.760
488.810,9.070
494.780,9.680
500.740,10.370
506.700,12.670
512.660,15.640
518.620,19.220
524.580,21.610
530.540,22.670
536.500,22.870
542.460,22.810
548.430,22.980
554.390,23.260
560.350,23.820
566.310,24.220
572.270,24.310
578.230,24.210
584.190,24.060
590.150,23.710
596.120,23.430
602.080,23.660
608.040,23.780
614.000,24.030
619.960,24.230
625.920,24.160
