new X, new Z
5.950,17.690
11.890,17.060
17.840,16.450
23.790,15.290
29.730,13.640
35.680,11.590
41.620,9.540
47.570,7.240
53.520,4.410
53.750,4.370
53.781,4.300
70.757,4.300
82.777,-1.710
83.277,-1.710
85.277,-2.710
87.277,-2.710
89.277,-1.710
89.777,-1.710
101.797,4.300
118.773,4.300
118.830,4.470
118.920,4.490
124.870,6.980
130.820,9.290
136.760,10.430
142.710,10.760
148.660,12.030
154.600,14.800
160.550,17.000
166.490,18.290
172.440,19.430
178.390,21.140
184.330,22.850
190.280,23.610
196.230,23.740
202.170,23.840
208.120,23.900
214.060,24.070
220.010,24.560
225.960,25.550
231.900,26.830
237.850,27.750
243.800,27.710
249.740,26.270
