new X, new Z
5.970,22.660
11.940,23.160
17.910,22.610
23.880,20.550
29.850,19.290
35.820,18.380
41.790,16.060
47.760,13.300
53.730,10.880
59.700,9.060
65.670,6.520
70.274,4.300
85.373,4.300
95.413,-0.720
95.913,-0.720
97.913,-1.720
99.913,-1.720
101.913,-0.720
102.413,-0.720
112.453,4.300
127.552,4.300
131.350,5.340
137.320,7.860
143.290,9.420
149.260,10.050
155.230,11.370
161.200,14.460
167.170,17.290
173.140,19.220
179.110,20.830
185.080,21.980
191.050,22.960
197.020,23.950
202.990,23.960
208.960,24.140
214.930,24.240
220.900,24.340
226.880,24.240
