new X, new Z
5.960,20.120
11.910,20.020
17.870,19.930
23.830,20.050
29.780,20.050
35.740,19.940
41.700,19.840
47.650,19.750
53.610,19.700
59.570,19.700
65.520,19.630
71.480,19.480
77.440,19.460
83.390,19.280
89.350,19.000
95.300,18.860
101.260,18.680
107.220,18.370
113.170,17.920
119.130,17.380
125.090,16.990
131.040,16.620
137.000,16.120
142.960,15.560
148.910,14.980
154.870,14.410
160.830,14.000
166.780,13.620
172.740,13.310
178.700,12.970
184.650,12.820
190.610,12.740
196.570,12.690
202.520,12.730
208.480,12.800
214.440,12.850
220.390,12.890
226.350,12.910
232.310,12.920
238.260,13.080
244.220,13.370
250.170,13.670
256.130,13.790
262.090,13.980
268.040,14.120
274.000,14.290
279.960,14.480
285.910,14.610
291.870,14.740
297.830,14.790
303.780,14.850
309.740,14.910
315.700,14.830
321.650,14.510
327.610,14.270
333.570,14.010
339.520,13.720
345.480,13.370
351.440,13.340
357.390,12.610
363.350,9.830
369.310,6.370
373.887,4.300
394.835,4.300
403.535,-0.050
405.535,-0.050
414.235,4.300
435.183,4.300
440.780,7.350
446.740,9.590
452.700,10.310
458.650,11.980
464.610,14.160
470.570,15.240
476.520,15.790
482.480,15.890
488.440,16.040
494.390,15.710
500.350,15.380
506.310,15.760
512.260,16.260
518.220,16.640
524.180,17.250
530.130,17.850
536.090,18.850
542.050,21.320
548.000,23.020
553.960,23.080
559.920,22.880
565.870,22.940
571.830,23.160
577.780,23.090
583.740,23.230
589.700,23.220
