new X, new Z
6.000,20.280
11.990,20.380
17.990,20.430
23.980,20.360
29.980,20.300
35.980,20.200
41.970,20.060
47.970,19.910
53.970,19.820
59.960,19.730
65.960,19.490
71.950,19.340
77.950,18.940
83.950,18.710
89.940,18.640
95.940,18.640
101.940,18.470
107.930,18.110
113.930,17.760
119.920,17.570
125.920,17.520
131.920,17.540
137.910,17.620
143.910,17.780
149.910,17.730
155.900,17.450
161.900,17.050
167.890,16.570
173.890,16.000
179.890,15.550
185.880,15.130
191.880,14.660
197.880,14.310
203.870,14.030
209.870,13.640
215.860,13.100
221.860,12.630
227.860,12.170
233.850,11.740
239.850,11.410
245.850,11.180
251.840,10.810
257.840,10.270
263.830,9.350
269.830,7.960
275.830,6.260
284.050,5.150
284.910,4.300
307.933,4.300
322.653,-3.060
323.153,-3.060
325.153,-4.060
327.153,-4.060
329.153,-3.060
329.653,-3.060
344.373,4.300
367.395,4.300
371.770,4.650
377.760,5.150
383.760,5.920
389.760,7.170
395.750,9.130
401.750,11.430
407.740,13.910
413.740,16.130
419.740,18.000
425.730,19.310
431.730,19.440
437.730,19.260
443.720,19.250
449.720,19.270
455.710,19.140
461.710,19.020
467.710,18.940
473.700,18.970
479.700,19.040
