new X, new Z
5.990,21.520
11.990,21.670
17.980,21.690
23.980,21.750
29.970,21.810
35.970,21.720
41.960,21.660
47.960,21.470
53.950,21.460
59.950,21.410
65.940,21.340
71.940,21.280
77.930,21.250
83.930,21.260
89.920,21.290
95.910,21.370
101.910,21.520
107.900,21.610
113.900,21.690
119.890,21.790
125.890,21.820
131.880,21.710
137.880,21.670
143.870,21.680
149.870,21.540
155.860,21.860
161.860,22.370
167.850,22.010
173.840,20.670
179.840,18.770
185.830,16.220
191.830,14.130
197.820,12.890
203.820,11.430
209.810,9.460
215.810,7.400
221.800,5.530
226.050,4.620
226.374,4.300
240.811,4.300
256.591,-3.590
257.091,-3.590
259.091,-4.590
261.091,-4.590
263.091,-3.590
263.591,-3.590
279.371,4.300
293.808,4.300
296.280,5.330
299.730,6.450
305.730,7.980
311.720,9.230
317.720,10.510
323.710,11.880
329.710,13.190
335.700,14.220
341.700,15.060
347.690,15.790
353.680,16.360
359.680,16.870
365.670,17.450
371.670,18.050
377.660,18.560
383.660,18.770
