new X, new Z
0.100,20.510
5.970,20.510
11.940,20.500
17.910,20.450
23.880,20.440
29.850,20.400
35.820,20.340
41.790,20.290
47.760,20.250
53.730,20.230
59.710,20.230
65.680,20.240
71.650,20.210
77.620,20.180
83.590,20.110
89.560,20.000
95.530,19.980
101.500,19.970
107.470,19.910
113.440,19.860
119.410,19.770
125.380,19.740
131.350,19.700
137.320,19.640
143.290,19.580
149.260,19.580
155.230,19.570
161.210,19.560
167.180,19.550
173.150,19.510
179.120,19.480
185.090,19.430
191.060,19.370
197.030,19.340
203.000,19.200
208.970,18.970
214.940,18.750
220.910,18.560
226.880,18.560
232.850,18.330
238.820,17.650
244.790,17.220
250.760,16.360
256.730,14.740
262.700,13.180
268.680,12.590
274.650,11.830
280.620,9.590
286.590,6.080
288.454,4.687
290.690,4.300
316.117,4.300
328.215,-1.749
330.215,-1.749
342.313,4.300
367.739,4.300
370.180,5.320
376.150,7.880
382.120,10.400
388.090,11.960
394.060,12.500
400.030,14.520
406.000,18.720
411.970,21.210
417.940,22.420
423.910,23.760
429.880,24.320
435.850,24.600
441.820,24.660
447.790,24.660
453.760,24.670
459.730,24.650
465.700,24.480
