new X, new Z
5.980,20.000
11.950,19.840
17.930,19.690
23.900,19.590
29.880,19.420
35.850,19.230
41.830,19.120
47.800,18.940
53.780,18.700
59.760,18.470
65.730,18.190
71.710,17.870
77.680,17.550
83.660,17.170
89.630,16.800
95.610,16.500
101.580,16.140
107.560,15.700
113.540,15.290
119.510,14.870
125.490,14.410
131.460,13.850
137.440,13.390
143.410,13.020
149.390,12.720
155.370,12.400
161.340,12.160
167.320,11.990
173.290,11.870
179.270,11.860
185.240,11.850
191.220,11.840
197.190,11.870
203.170,11.980
209.150,12.100
215.120,12.210
221.100,12.370
227.070,12.520
233.050,12.670
239.020,12.770
245.000,12.920
250.970,13.210
256.950,13.380
262.930,13.500
268.900,13.920
274.880,14.600
280.850,14.370
286.830,13.590
292.800,12.600
298.780,10.800
304.750,7.680
311.778,4.300
331.710,4.300
340.510,-0.100
342.510,-0.100
351.310,4.300
371.242,4.300
375.290,6.570
382.440,8.300
388.410,9.290
394.390,10.760
400.360,13.000
406.340,15.130
412.320,16.590
418.290,17.510
424.270,18.140
430.240,18.180
436.220,17.540
442.190,17.400
448.170,17.620
454.140,18.010
460.120,18.400
466.100,18.480
472.070,18.320
478.050,18.330
484.020,18.630
490.000,19.240
495.970,19.800
501.950,20.670
507.920,22.210
513.900,24.080
519.880,25.720
525.850,26.890
531.830,27.310
