new X, new Z
5.980,19.760
11.960,19.750
17.940,19.720
23.920,19.640
29.890,19.540
35.870,19.390
41.850,19.260
47.830,19.060
53.810,18.810
59.790,18.580
65.770,18.380
71.750,18.150
77.720,17.880
83.700,17.640
89.680,17.380
95.660,17.050
101.640,16.620
107.620,16.250
113.600,15.930
119.580,15.620
125.550,15.390
131.530,15.210
137.510,15.130
143.490,15.080
149.470,15.090
155.450,15.050
161.430,15.050
167.410,15.090
173.380,15.030
179.360,15.020
185.340,14.980
191.320,15.000
197.300,15.020
203.280,15.030
209.260,15.000
215.240,14.920
221.210,14.800
227.190,14.660
233.170,14.540
239.150,14.430
245.130,14.160
251.110,14.030
257.090,13.950
263.070,14.240
269.040,14.830
275.020,14.390
281.000,13.910
286.980,12.950
292.960,10.550
298.940,6.580
301.984,4.300
325.147,4.300
334.389,-0.321
336.389,-0.321
345.631,4.300
368.794,4.300
370.680,4.970
376.660,7.410
382.640,9.560
388.620,10.440
394.600,12.670
400.580,15.240
406.560,17.810
412.540,20.780
418.510,22.300
424.490,22.580
430.470,22.860
436.450,23.310
442.430,23.870
448.410,24.050
454.390,24.160
460.370,24.420
466.340,24.660
472.320,24.780
478.300,24.780
484.280,24.670
