new X, new Z
5.990,18.940
11.980,19.020
17.960,19.000
23.950,19.070
29.940,19.100
35.930,19.130
41.920,19.140
47.900,19.210
53.890,19.240
59.880,19.330
65.870,19.460
71.850,19.490
77.840,19.540
83.830,19.540
89.820,19.500
95.810,19.500
101.790,19.530
107.780,19.570
113.770,19.600
119.760,19.640
125.750,19.740
131.730,19.790
137.720,19.780
143.710,19.860
149.700,19.910
155.690,19.890
161.670,20.060
167.660,20.200
173.650,20.150
179.640,20.200
185.630,20.220
191.610,20.280
197.600,20.340
203.590,20.340
209.580,20.380
215.560,20.410
221.550,20.370
227.540,20.420
233.530,20.460
239.520,20.410
245.500,20.450
251.490,20.560
257.480,20.550
263.470,20.530
269.460,20.530
275.440,20.510
281.430,20.480
287.420,20.440
293.410,20.410
299.400,20.350
305.380,20.220
311.370,20.160
317.360,20.100
323.350,20.020
329.330,20.000
335.320,20.020
341.310,20.080
347.300,20.120
353.290,20.200
359.270,20.310
365.260,20.400
371.250,20.470
377.240,20.470
383.230,20.400
389.210,20.290
395.200,20.040
401.190,20.000
407.180,21.530
413.170,24.290
419.150,24.780
425.140,22.070
431.130,18.690
437.120,16.710
443.100,14.850
449.090,12.670
455.080,9.550
461.070,6.550
467.060,4.510
468.487,4.300
493.449,4.300
508.083,-3.017
510.083,-3.017
524.717,4.300
549.679,4.300
550.890,4.630
556.870,6.310
562.860,7.860
568.850,9.030
574.840,9.290
580.830,9.520
586.810,10.290
592.800,11.240
598.790,12.230
604.780,13.110
610.770,14.130
616.750,15.280
622.740,16.350
628.730,17.460
634.720,18.360
640.710,19.270
646.690,19.710
652.680,20.180
658.670,20.660
664.660,20.810
670.650,20.740
676.630,20.960
682.620,21.150
688.610,21.200
694.600,21.260
700.580,21.330
706.570,21.350
712.560,21.390
718.550,21.440
724.540,21.490
730.520,21.520
736.510,21.540
742.500,21.550
748.490,21.570
754.480,21.590
760.460,21.580
766.450,21.600
772.440,21.640
778.430,21.680
784.420,21.660
790.400,21.680
796.390,21.660
802.380,21.740
808.370,21.640
814.350,21.550
820.340,21.420
826.330,21.450
832.320,21.490
838.310,21.490
844.290,21.380
850.280,21.220
856.270,21.190
862.260,21.230
868.250,21.300
874.230,21.380
880.220,21.400
886.210,21.340
892.200,21.260
898.190,21.220
904.170,21.220
910.160,21.310
916.150,21.400
922.140,21.450
928.130,21.500
934.110,21.540
940.100,21.630
