new X, new Z
5.990,23.330
11.990,23.420
17.980,23.460
23.970,23.430
29.960,23.380
35.960,23.440
41.950,23.590
47.940,23.710
53.930,23.740
59.920,23.760
65.920,23.780
71.910,23.740
77.900,23.710
83.890,23.650
89.890,23.380
95.880,23.260
101.870,23.100
107.860,22.950
113.860,22.830
119.850,22.640
125.840,22.360
131.830,21.970
137.830,21.580
143.820,21.300
149.810,21.140
155.800,21.010
161.800,20.780
167.790,20.380
173.780,20.010
179.770,19.860
185.770,19.800
191.760,19.680
197.750,19.550
203.740,19.190
209.740,19.000
215.730,18.970
221.720,18.900
227.710,18.760
233.710,18.460
239.700,18.100
245.690,17.860
251.680,17.730
257.680,17.560
263.670,17.390
269.660,17.250
275.650,17.120
281.650,16.940
287.640,16.860
293.630,16.680
299.620,16.460
305.620,16.200
311.610,15.910
317.600,15.020
323.590,13.410
329.590,12.640
335.580,12.400
341.570,10.710
347.560,6.880
350.310,5.580
354.184,4.300
372.221,4.300
384.721,-1.950
385.221,-1.950
387.221,-2.950
389.221,-2.950
391.221,-1.950
391.721,-1.950
404.221,4.300
422.259,4.300
425.560,6.780
431.460,8.510
437.450,9.080
443.440,9.820
449.440,12.350
455.430,15.030
461.420,17.550
467.410,19.730
473.410,21.030
479.400,21.550
485.390,21.890
491.380,22.690
497.380,23.780
503.370,24.270
509.360,24.230
