new X, new Z
5.970,20.100
11.940,20.090
17.910,20.010
23.880,19.890
29.840,19.820
35.810,19.820
41.780,19.810
47.750,19.800
53.720,19.730
59.690,19.640
65.660,19.610
71.630,19.510
77.600,19.380
83.560,19.190
89.530,18.930
95.500,18.610
101.470,18.310
107.440,18.070
113.410,17.870
119.380,17.690
125.350,17.350
131.320,17.040
137.280,16.650
143.250,16.300
149.220,16.000
155.190,15.730
161.160,15.510
167.130,15.290
173.100,15.060
179.070,14.810
185.040,14.540
191.000,14.300
196.970,14.140
202.940,14.020
208.910,13.920
214.880,13.920
220.850,13.930
226.820,13.920
232.790,13.880
238.760,13.880
244.720,13.910
250.690,13.990
256.660,14.090
262.630,14.250
268.600,14.410
274.570,14.560
280.540,14.620
286.510,14.620
292.480,14.600
298.440,14.540
304.410,14.380
310.380,14.240
316.350,14.170
322.320,14.040
328.290,14.010
334.260,14.050
340.230,14.230
346.200,13.620
352.160,11.320
358.130,7.810
363.321,4.300
383.021,4.300
391.621,0.000
392.121,0.000
394.121,-1.000
396.121,-1.000
398.121,0.000
398.621,0.000
407.221,4.300
426.921,4.300
429.760,5.290
435.730,7.770
441.700,9.470
447.670,10.960
453.640,12.050
459.600,15.010
465.570,16.940
471.540,18.090
477.510,19.150
483.480,19.740
489.450,20.310
495.420,21.430
501.390,22.800
507.360,24.160
513.330,24.700
519.290,24.580
525.260,24.710
531.230,24.640
537.200,24.580
