new X, new Z
5.990,20.440
11.970,20.520
17.960,20.520
23.940,20.470
29.930,20.410
35.910,20.300
41.900,20.160
47.880,20.020
53.870,19.880
59.850,19.790
65.840,19.680
71.820,19.520
77.810,19.450
83.790,19.290
89.780,18.980
95.760,18.630
101.750,18.320
107.730,17.960
113.720,17.690
119.710,17.390
125.690,16.980
131.680,16.480
137.660,16.030
143.650,15.640
149.630,15.320
155.620,15.040
161.600,14.820
167.590,14.650
173.570,14.490
179.560,14.380
185.540,14.240
191.530,14.050
197.510,13.990
203.500,14.020
209.480,14.090
215.470,14.100
221.450,14.210
227.440,14.380
233.430,14.540
239.410,14.610
245.400,14.690
251.380,14.650
257.370,14.540
263.350,14.400
269.340,14.250
275.320,14.130
281.310,14.000
287.290,13.820
293.280,13.690
299.260,13.620
305.250,13.360
311.230,11.690
317.220,8.080
320.710,5.810
324.909,4.300
347.460,4.300
355.980,0.040
357.980,0.040
366.500,4.300
389.052,4.300
393.350,6.920
395.030,7.560
401.010,10.060
407.000,11.780
412.980,12.030
418.970,12.550
424.950,15.390
430.940,18.160
436.920,20.030
442.910,21.180
448.900,21.830
454.880,22.580
460.870,23.540
466.850,24.040
472.840,24.710
478.820,24.810
484.810,24.780
490.790,24.830
496.780,24.840
502.760,24.990
508.750,25.030
514.730,26.450
