new X, new Z
5.850,22.400
11.700,22.060
17.550,21.770
23.400,20.730
29.250,18.760
35.110,16.020
40.960,14.260
46.810,13.790
52.660,12.900
58.510,10.850
64.360,8.950
70.210,7.810
76.060,6.180
80.992,4.300
97.334,4.300
106.534,-0.300
108.534,-0.300
117.734,4.300
134.076,4.300
137.940,6.100
139.080,6.590
139.410,6.730
146.270,9.130
152.120,11.300
157.980,12.380
163.830,12.770
169.680,12.960
175.530,14.940
181.380,16.880
187.230,17.980
193.080,19.410
198.930,20.160
204.780,20.350
210.630,20.270
216.490,20.180
222.340,20.080
228.190,19.970
234.040,20.090
