new X, new Z
5.970,19.330
11.930,19.290
17.900,19.140
23.870,18.940
29.830,18.690
35.800,18.570
41.770,18.490
47.730,18.340
53.700,18.150
59.670,17.880
65.630,17.510
71.600,17.330
77.570,17.210
83.530,17.020
89.500,16.960
95.470,16.870
101.430,16.590
107.400,16.340
113.370,16.150
119.330,15.910
125.300,15.170
131.270,14.020
137.230,13.120
143.200,12.700
149.170,12.900
155.130,13.400
161.100,13.770
167.070,14.010
173.030,14.170
179.000,14.350
184.970,14.670
190.930,15.130
196.900,15.400
202.870,15.630
208.830,15.590
214.800,15.560
220.770,15.610
226.730,15.350
232.700,14.840
238.670,14.420
244.630,13.730
250.600,12.870
256.570,11.770
262.810,10.270
268.810,8.210
274.800,6.340
279.050,5.430
280.194,4.300
297.369,4.300
311.529,-2.780
313.529,-2.780
327.689,4.300
344.864,4.300
349.280,6.140
352.730,7.260
358.730,8.790
364.720,10.040
370.720,11.320
375.900,12.450
381.870,13.840
387.840,15.350
393.800,16.870
399.770,19.030
405.740,21.140
411.700,22.260
417.670,22.760
423.640,23.160
429.600,23.360
435.570,23.610
441.540,23.510
447.500,23.220
453.470,23.240
459.440,23.110
465.400,23.030
471.370,22.920
477.340,22.760
483.300,22.600
489.270,22.470
495.240,22.540
501.200,22.570
507.170,22.520
513.140,22.520
519.100,22.660
525.070,22.650
531.040,22.610
537.000,22.730
542.970,22.790
548.940,22.910
554.900,23.180
560.870,23.500
566.840,23.460
572.800,23.290
578.770,22.680
