new X, new Z
5.960,20.180
11.910,20.080
17.870,19.890
23.830,19.680
29.790,19.520
35.740,19.390
41.700,19.700
47.660,20.180
53.610,20.290
59.570,20.210
65.530,19.890
71.480,19.610
77.440,19.210
83.400,19.150
89.360,19.260
95.310,19.350
101.270,19.280
107.230,19.210
113.180,19.200
119.140,19.260
125.100,19.280
131.050,19.190
137.010,19.100
142.970,19.100
148.930,19.160
154.880,19.320
160.840,19.460
166.800,19.540
172.750,19.700
178.710,19.630
184.670,19.460
190.620,19.360
196.580,19.740
202.540,19.560
208.500,17.580
214.450,15.420
220.410,13.730
226.370,12.610
232.320,12.170
238.280,11.220
244.240,8.720
250.040,5.910
252.660,4.300
280.425,4.300
292.585,-1.780
294.585,-1.780
306.745,4.300
334.510,4.300
337.890,7.310
339.550,8.140
345.510,10.900
351.460,11.960
357.420,12.470
363.380,14.310
369.340,16.150
375.290,17.670
381.250,19.200
387.210,20.470
393.160,21.170
399.120,21.540
405.080,21.730
411.030,21.620
416.990,21.440
422.950,21.370
428.910,21.300
434.860,21.330
440.820,21.410
446.780,21.500
452.730,21.540
458.690,21.590
464.650,21.620
470.610,21.730
476.560,21.810
482.520,21.980
488.480,22.190
494.430,22.300
500.390,22.350
506.350,22.480
512.300,22.630
518.260,22.800
524.220,23.010
530.180,23.090
536.130,23.080
542.090,23.120
548.050,23.250
554.000,23.210
559.960,23.250
565.920,23.430
571.870,23.470
577.830,23.420
583.790,23.400
589.750,23.400
595.700,23.350
601.660,23.330
607.620,23.350
