new X, new Z
5.960,23.140
11.930,23.200
17.890,23.080
23.860,23.070
29.820,23.120
35.790,23.110
41.750,23.100
47.720,23.140
53.680,23.120
59.650,22.970
65.610,22.790
71.580,22.680
77.540,22.820
83.510,22.780
89.470,22.750
95.440,22.640
101.400,22.530
107.360,22.450
113.330,22.370
119.290,22.380
125.260,22.340
131.220,22.110
137.190,21.950
143.150,21.800
149.120,21.570
155.080,21.280
161.050,20.920
167.010,20.620
172.980,20.200
178.940,19.680
184.900,19.350
190.870,19.020
196.830,18.600
202.800,18.270
208.760,17.940
214.730,17.710
220.690,17.700
226.660,17.650
232.620,17.580
238.590,17.440
244.550,17.310
250.520,17.300
256.480,17.340
262.450,17.390
268.410,17.250
274.380,17.040
280.340,16.800
286.300,16.730
292.270,16.660
298.230,16.560
304.200,16.370
310.160,16.090
316.130,16.110
322.090,16.570
328.060,14.980
334.020,13.050
339.990,12.760
345.950,12.220
351.920,9.650
358.060,4.892
360.525,4.300
383.312,4.300
393.752,-0.920
395.752,-0.920
406.192,4.300
428.979,4.300
429.460,4.480
435.420,8.560
441.390,10.320
447.350,10.530
453.320,11.760
459.280,14.070
465.250,16.240
471.210,18.660
477.170,21.510
483.140,22.060
489.100,21.820
495.070,21.940
501.030,23.300
507.000,24.290
512.960,24.660
