new X, new Z
5.990,21.040
11.970,21.080
17.960,21.050
23.950,21.010
29.930,20.880
35.920,20.780
41.910,20.720
47.890,20.720
53.880,20.740
59.870,20.690
65.850,20.670
71.840,20.620
77.830,20.580
83.810,20.460
89.800,20.440
95.790,20.290
101.770,20.140
107.760,20.000
113.750,19.800
119.730,19.720
125.720,19.570
131.710,19.430
137.690,19.340
143.680,19.240
149.670,19.130
155.650,18.990
161.640,18.810
167.620,18.640
173.610,18.490
179.600,18.430
185.580,18.400
191.570,18.310
197.560,18.220
203.540,18.130
209.530,18.070
215.520,18.030
221.500,18.100
227.490,18.200
233.480,18.340
239.460,18.480
245.450,18.500
251.440,18.490
257.420,18.440
263.410,18.510
269.400,18.630
275.380,18.630
281.370,18.630
287.360,18.750
293.340,18.770
299.330,18.890
305.320,18.960
311.300,18.960
317.290,18.980
323.280,18.910
329.260,18.690
335.250,18.520
341.240,18.360
347.220,18.170
353.210,17.990
359.200,17.830
365.180,17.640
371.170,16.820
377.160,15.770
383.140,15.460
389.130,15.120
395.120,13.870
401.100,10.820
407.090,6.360
408.500,5.760
413.126,4.300
433.591,4.300
445.631,-1.720
446.131,-1.720
448.131,-2.720
450.131,-2.720
452.131,-1.720
452.631,-1.720
464.671,4.300
485.135,4.300
490.900,6.860
496.890,9.260
502.880,10.570
508.860,11.200
514.850,12.930
520.830,16.240
526.820,18.820
532.810,21.850
538.790,24.100
544.780,24.730
550.770,24.720
556.750,24.590
562.740,23.960
568.730,23.560
574.710,23.500
580.700,23.690
586.690,23.940
592.670,24.130
598.660,24.170
604.650,24.160
610.630,24.110
616.620,24.010
622.610,23.920
628.590,23.860
634.580,23.820
640.570,23.750
646.550,23.830
652.540,24.000
658.530,24.010
664.510,23.970
