new X, new Z
5.960,21.830
11.920,21.900
17.880,20.710
23.840,18.390
29.800,16.200
35.760,15.210
41.720,13.880
47.680,12.330
53.640,10.420
59.590,8.660
65.550,7.110
69.600,6.130
74.589,4.300
88.030,4.300
97.310,-0.340
97.810,-0.340
99.810,-1.340
101.810,-1.340
103.810,-0.340
104.310,-0.340
113.590,4.300
127.030,4.300
132.300,6.620
137.070,8.920
143.030,9.880
148.990,9.900
154.950,11.510
160.900,13.910
166.860,16.520
172.820,18.530
178.780,19.480
184.740,19.970
190.700,21.110
196.660,22.840
202.620,23.530
208.580,23.710
